peso,fecha
29.59,2018-07-27 10:08:26
20.0,2018-07-27 10:08:28
26.0,2018-07-27 10:08:31
23.0,2018-07-27 10:08:33
22.0,2018-07-27 10:08:34
19.0,2018-07-27 10:08:36
19.0,2018-07-27 10:08:37
21.0,2018-07-27 10:08:39
22.5,2018-07-27 10:08:41
20.5,2018-07-27 10:08:42
24.5,2018-07-27 10:08:44
19.0,2018-07-27 10:08:46
30.5,2018-07-27 10:08:48
28.0,2018-07-27 10:08:50
18.5,2018-07-27 10:08:52
29.0,2018-07-27 10:08:54
19.5,2018-07-27 10:08:55
37.5,2018-07-27 10:08:57
24.0,2018-07-27 10:08:59
28.5,2018-07-27 10:09:01
29.0,2018-07-27 10:09:03
24.5,2018-07-27 10:09:04
18.0,2018-07-27 10:09:06
25.5,2018-07-27 10:09:08
28.5,2018-07-27 10:09:10
30.5,2018-07-27 10:09:12
26.59,2018-07-27 10:47:24
25.5,2018-07-27 10:47:28
28.0,2018-07-27 10:47:31
27.0,2018-07-27 10:47:33
19.5,2018-07-27 10:47:36
20.0,2018-07-27 10:47:38
24.0,2018-07-27 10:47:41
26.5,2018-07-27 10:47:43
27.0,2018-07-27 10:47:46
29.5,2018-07-27 10:47:48
12.0,2018-07-27 10:47:50
20.5,2018-07-27 10:47:52
23.5,2018-07-27 10:47:54
24.0,2018-07-27 10:47:56
25.0,2018-07-27 10:47:58
28.5,2018-07-27 10:48:00
21.0,2018-07-27 10:48:02
29.5,2018-07-27 10:48:05
17.5,2018-07-27 10:48:06
21.0,2018-07-27 10:48:09
22.0,2018-07-27 10:48:11
20.0,2018-07-27 10:48:12
29.5,2018-07-27 10:48:14
17.0,2018-07-27 10:48:16
27.09,2018-07-27 11:49:35
24.0,2018-07-27 11:49:38
27.0,2018-07-27 11:49:40
23.0,2018-07-27 11:49:42
15.0,2018-07-27 11:49:44
21.0,2018-07-27 11:49:46
15.0,2018-07-27 11:49:47
28.0,2018-07-27 11:49:49
35.0,2018-07-27 11:49:51
30.0,2018-07-27 11:49:53
32.5,2018-07-27 11:49:54
24.5,2018-07-27 11:49:56
25.5,2018-07-27 11:49:57
29.0,2018-07-27 11:49:59
13.0,2018-07-27 11:50:01
21.5,2018-07-27 11:50:02
23.0,2018-07-27 11:50:04
28.5,2018-07-27 11:50:06
22.5,2018-07-27 11:50:08
24.0,2018-07-27 11:50:09
22.0,2018-07-27 11:50:11
29.0,2018-07-27 11:50:13
11.5,2018-07-27 11:50:15
23.5,2018-07-27 11:50:17
22.5,2018-07-27 11:50:18
21.09,2018-07-27 14:13:41
17.5,2018-07-27 14:13:44
15.0,2018-07-27 14:13:49
17.5,2018-07-27 14:13:52
30.5,2018-07-27 14:13:57
19.0,2018-07-27 14:14:00
23.0,2018-07-27 14:14:03
24.5,2018-07-27 14:14:08
20.0,2018-07-27 14:14:11
21.0,2018-07-27 14:14:15
18.5,2018-07-27 14:14:20
24.0,2018-07-27 14:14:28
24.0,2018-07-27 14:14:30
25.0,2018-07-27 14:14:33
28.5,2018-07-27 14:14:35
21.5,2018-07-27 14:14:36
28.0,2018-07-27 14:14:38
27.5,2018-07-27 14:14:40
22.0,2018-07-27 14:14:42
22.5,2018-07-27 14:14:44
22.0,2018-07-27 14:14:46
25.0,2018-07-27 14:14:48
29.0,2018-07-27 14:14:50
30.5,2018-07-27 14:14:53
34.0,2018-07-27 14:14:55
24.09,2018-07-27 14:48:32
22.09,2018-07-27 14:48:44
27.5,2018-07-27 14:48:47
26.5,2018-07-27 14:48:49
32.5,2018-07-27 14:48:51
25.0,2018-07-27 14:48:52
21.5,2018-07-27 14:48:54
18.5,2018-07-27 14:48:55
27.0,2018-07-27 14:48:57
29.0,2018-07-27 14:48:59
21.0,2018-07-27 14:49:04
17.09,2018-07-27 14:49:14
25.5,2018-07-27 14:49:17
32.5,2018-07-27 14:49:19
31.0,2018-07-27 14:49:20
27.5,2018-07-27 14:49:23
26.0,2018-07-27 14:49:25
32.0,2018-07-27 14:49:26
42.0,2018-07-27 14:49:28
4.59,2018-07-27 14:50:10
11.0,2018-07-27 14:50:12
26.09,2018-07-30 07:30:24
16.5,2018-07-30 07:30:28
15.0,2018-07-30 07:30:31
29.0,2018-07-30 07:30:34
24.5,2018-07-30 07:30:37
15.0,2018-07-30 07:30:39
19.5,2018-07-30 07:30:42
20.5,2018-07-30 07:30:44
23.5,2018-07-30 07:30:47
26.0,2018-07-30 07:30:49
18.5,2018-07-30 07:30:51
26.0,2018-07-30 07:30:53
21.5,2018-07-30 07:30:56
21.0,2018-07-30 07:30:58
23.0,2018-07-30 07:31:00
22.0,2018-07-30 07:31:02
31.5,2018-07-30 07:31:04
24.0,2018-07-30 07:31:07
28.0,2018-07-30 07:31:09
32.0,2018-07-30 07:31:11
25.0,2018-07-30 07:31:13
21.5,2018-07-30 07:31:15
17.0,2018-07-30 07:31:17
20.0,2018-07-30 07:31:19
23.0,2018-07-30 07:31:21
20.0,2018-07-30 07:31:23
27.0,2018-07-30 07:31:24
20.0,2018-07-30 07:31:26
23.5,2018-07-30 07:31:29
31.0,2018-07-30 07:31:33
