peso,fecha
15.59,2018-07-30 13:48:47
33.0,2018-07-30 13:48:50
26.0,2018-07-30 13:48:52
18.59,2018-07-30 13:48:54
24.0,2018-07-30 13:48:56
14.5,2018-07-30 13:48:59
31.5,2018-07-30 13:49:01
21.5,2018-07-30 13:49:03
24.5,2018-07-30 13:49:05
23.0,2018-07-30 13:49:07
17.0,2018-07-30 13:49:09
24.5,2018-07-30 13:49:11
16.59,2018-07-30 13:49:13
26.0,2018-07-30 13:49:14
16.5,2018-07-30 13:49:16
21.5,2018-07-30 13:49:18
28.5,2018-07-30 13:49:19
18.0,2018-07-30 13:49:21
21.5,2018-07-30 13:49:22
23.0,2018-07-30 13:49:23
15.59,2018-07-30 14:23:31
18.0,2018-07-30 14:23:33
15.5,2018-07-30 14:23:36
24.0,2018-07-30 14:23:44
19.0,2018-07-30 14:23:48
18.0,2018-07-30 14:23:50
16.5,2018-07-30 14:23:53
14.5,2018-07-30 14:23:55
26.5,2018-07-30 14:23:57
24.5,2018-07-30 14:23:59
15.5,2018-07-30 14:24:00
22.5,2018-07-30 14:24:02
21.0,2018-07-30 14:24:04
21.5,2018-07-30 14:24:06
17.0,2018-07-30 14:24:07
20.0,2018-07-30 14:24:09
23.5,2018-07-30 14:24:11
22.5,2018-07-30 14:24:12
12.0,2018-07-30 14:24:14
25.09,2018-07-30 15:25:14
20.0,2018-07-30 15:25:17
17.5,2018-07-30 15:25:18
17.0,2018-07-30 15:25:20
23.0,2018-07-30 15:25:21
17.5,2018-07-30 15:25:23
28.5,2018-07-30 15:25:25
25.5,2018-07-30 15:25:26
35.0,2018-07-30 15:25:28
22.0,2018-07-30 15:25:29
22.5,2018-07-30 15:25:31
23.0,2018-07-30 15:25:33
20.0,2018-07-30 15:25:34
19.0,2018-07-30 15:25:36
28.5,2018-07-30 15:25:37
25.5,2018-07-30 15:25:39
19.5,2018-07-30 15:25:40
23.5,2018-07-30 15:25:41
19.0,2018-07-30 15:25:43
18.09,2018-07-30 15:46:37
13.59,2018-07-30 15:46:48
26.5,2018-07-30 15:46:50
16.0,2018-07-30 15:46:52
14.5,2018-07-30 15:46:54
20.0,2018-07-30 15:46:56
20.5,2018-07-30 15:46:58
25.5,2018-07-30 15:47:00
26.5,2018-07-30 15:47:02
19.5,2018-07-30 15:47:04
25.5,2018-07-30 15:47:05
14.0,2018-07-30 15:47:07
20.0,2018-07-30 15:47:09
20.0,2018-07-30 15:47:10
17.0,2018-07-30 15:47:12
19.5,2018-07-30 15:47:14
18.0,2018-07-30 15:47:16
19.5,2018-07-30 15:47:17
18.5,2018-07-30 15:47:19
25.5,2018-07-30 15:47:20
19.0,2018-07-30 15:47:22
13.09,2018-07-30 16:41:12
14.0,2018-07-30 16:41:15
25.0,2018-07-30 16:41:17
31.0,2018-07-30 16:41:20
21.5,2018-07-30 16:41:22
15.5,2018-07-30 16:41:27
36.5,2018-07-30 16:41:30
18.0,2018-07-30 16:41:33
28.0,2018-07-30 16:41:35
29.0,2018-07-30 16:41:37
27.0,2018-07-30 16:41:39
24.5,2018-07-30 16:41:41
25.5,2018-07-30 16:41:43
20.0,2018-07-30 16:41:46
26.5,2018-07-30 16:41:48
16.0,2018-07-30 16:41:50
18.0,2018-07-30 16:41:52
20.0,2018-07-30 16:41:54
30.5,2018-07-30 16:41:56
21.5,2018-07-30 16:41:58
9.5,2018-07-30 16:42:00
13.59,2018-07-31 00:00:07
20.5,2018-07-31 00:00:09
19.5,2018-07-31 00:00:11
25.0,2018-07-31 00:00:13
20.0,2018-07-31 00:00:15
29.0,2018-07-31 00:00:16
39.0,2018-07-31 00:00:18
24.0,2018-07-31 00:00:21
30.0,2018-07-31 00:00:22
27.5,2018-07-31 00:00:24
30.5,2018-07-31 00:00:26
31.5,2018-07-31 00:00:27
16.5,2018-07-31 00:00:29
25.0,2018-07-31 00:00:31
19.5,2018-07-31 00:00:32
29.0,2018-07-31 00:00:34
14.5,2018-07-31 00:00:35
34.5,2018-07-31 00:00:37
43.5,2018-07-31 00:00:39
18.0,2018-07-31 00:00:41
57.09,2018-07-31 00:05:01
19.59,2018-07-31 17:39:53
20.0,2018-07-31 17:39:55
31.0,2018-07-31 17:39:58
20.5,2018-07-31 17:39:59
28.0,2018-07-31 17:40:01
26.0,2018-07-31 17:40:04
25.0,2018-07-31 17:40:07
25.5,2018-07-31 17:40:10
29.0,2018-07-31 17:40:12
20.0,2018-07-31 17:40:13
19.5,2018-07-31 17:40:22
29.0,2018-07-31 17:40:24
22.0,2018-07-31 17:40:25
18.5,2018-07-31 17:40:27
25.0,2018-07-31 17:40:28
27.5,2018-07-31 17:40:29
20.5,2018-07-31 17:40:31
29.0,2018-07-31 17:40:32
20.0,2018-07-31 17:40:33
19.5,2018-07-31 17:40:34
