peso,fecha
19.59,2018-08-02 13:01:58
16.0,2018-08-02 13:02:00
21.0,2018-08-02 13:02:02
18.0,2018-08-02 13:02:03
20.0,2018-08-02 13:02:05
17.0,2018-08-02 13:02:07
19.5,2018-08-02 13:02:08
25.5,2018-08-02 13:02:10
21.5,2018-08-02 13:02:12
26.0,2018-08-02 13:02:14
25.0,2018-08-02 13:02:16
29.0,2018-08-02 13:02:18
16.0,2018-08-02 13:02:19
20.5,2018-08-02 13:02:21
29.5,2018-08-02 13:02:23
24.0,2018-08-02 13:02:24
17.0,2018-08-02 13:02:26
21.0,2018-08-02 13:02:28
19.0,2018-08-02 13:02:30
17.0,2018-08-02 13:02:32
18.5,2018-08-02 13:02:34
21.5,2018-08-02 13:02:36
16.5,2018-08-02 13:02:38
23.5,2018-08-02 13:02:40
27.0,2018-08-02 13:02:42
19.59,2018-08-02 13:25:57
14.5,2018-08-02 13:26:00
24.0,2018-08-02 13:26:03
22.5,2018-08-02 13:26:05
29.0,2018-08-02 13:26:08
23.5,2018-08-02 13:26:10
26.5,2018-08-02 13:26:13
27.0,2018-08-02 13:26:16
27.5,2018-08-02 13:26:18
32.5,2018-08-02 13:26:21
22.0,2018-08-02 13:26:24
20.5,2018-08-02 13:26:27
18.5,2018-08-02 13:26:29
23.0,2018-08-02 13:26:32
25.5,2018-08-02 13:26:34
27.0,2018-08-02 13:26:37
22.5,2018-08-02 13:26:39
21.5,2018-08-02 13:26:42
22.0,2018-08-02 13:26:44
24.5,2018-08-02 13:26:46
22.5,2018-08-02 13:26:49
21.0,2018-08-02 13:26:52
25.5,2018-08-02 13:26:54
20.5,2018-08-02 13:26:57
24.5,2018-08-02 13:27:00
24.59,2018-08-02 14:20:03
19.0,2018-08-02 14:20:07
19.5,2018-08-02 14:20:11
20.5,2018-08-02 14:20:12
27.0,2018-08-02 14:20:14
23.5,2018-08-02 14:20:16
29.0,2018-08-02 14:20:18
31.0,2018-08-02 14:20:19
23.5,2018-08-02 14:20:20
16.0,2018-08-02 14:20:22
20.0,2018-08-02 14:20:23
18.5,2018-08-02 14:20:25
19.5,2018-08-02 14:20:26
32.5,2018-08-02 14:20:28
22.5,2018-08-02 14:20:29
22.0,2018-08-02 14:20:31
24.0,2018-08-02 14:20:32
16.5,2018-08-02 14:20:33
22.0,2018-08-02 14:20:34
25.0,2018-08-02 14:20:35
15.0,2018-08-02 14:20:37
21.5,2018-08-02 14:20:38
18.5,2018-08-02 14:20:39
15.5,2018-08-02 14:20:41
29.0,2018-08-02 14:20:42
17.09,2018-08-02 15:21:39
27.0,2018-08-02 15:21:41
27.5,2018-08-02 15:21:43
24.5,2018-08-02 15:21:45
18.5,2018-08-02 15:21:47
25.0,2018-08-02 15:21:49
16.5,2018-08-02 15:21:50
20.0,2018-08-02 15:21:52
19.0,2018-08-02 15:21:54
13.5,2018-08-02 15:21:56
24.0,2018-08-02 15:21:58
16.5,2018-08-02 15:22:00
14.5,2018-08-02 15:22:01
26.5,2018-08-02 15:22:03
21.0,2018-08-02 15:22:05
24.0,2018-08-02 15:22:07
24.5,2018-08-02 15:22:09
27.0,2018-08-02 15:22:11
19.0,2018-08-02 15:22:13
22.0,2018-08-02 15:22:15
11.0,2018-08-02 15:22:17
16.5,2018-08-02 15:22:18
18.0,2018-08-02 15:22:20
20.5,2018-08-02 15:22:22
22.0,2018-08-02 15:22:24
13.59,2018-08-02 15:58:32
17.5,2018-08-02 15:58:35
14.0,2018-08-02 15:58:37
14.0,2018-08-02 15:58:39
20.0,2018-08-02 15:58:41
14.5,2018-08-02 15:58:43
15.5,2018-08-02 15:58:45
13.0,2018-08-02 15:58:47
20.0,2018-08-02 15:58:49
17.5,2018-08-02 15:58:51
16.5,2018-08-02 15:58:53
23.0,2018-08-02 15:58:55
16.5,2018-08-02 15:58:57
13.0,2018-08-02 15:58:58
19.0,2018-08-02 15:59:00
25.0,2018-08-02 15:59:03
10.5,2018-08-02 15:59:05
16.5,2018-08-02 15:59:07
20.5,2018-08-02 15:59:08
16.0,2018-08-02 15:59:10
12.0,2018-08-02 15:59:12
13.0,2018-08-02 15:59:14
17.5,2018-08-02 15:59:16
18.09,2018-08-02 17:01:20
20.0,2018-08-02 17:01:23
18.0,2018-08-02 17:01:25
13.0,2018-08-02 17:01:26
23.0,2018-08-02 17:01:28
15.5,2018-08-02 17:01:30
22.5,2018-08-02 17:01:31
11.5,2018-08-02 17:01:33
26.0,2018-08-02 17:01:36
18.0,2018-08-02 17:01:38
23.0,2018-08-02 17:01:40
23.5,2018-08-02 17:01:41
20.5,2018-08-02 17:01:43
14.0,2018-08-02 17:01:45
29.5,2018-08-02 17:01:47
22.5,2018-08-02 17:01:49
17.5,2018-08-02 17:01:50
19.0,2018-08-02 17:01:52
26.0,2018-08-02 17:01:54
16.0,2018-08-02 17:01:56
23.5,2018-08-02 17:01:58
19.0,2018-08-02 17:02:00
22.0,2018-08-02 17:02:02
19.0,2018-08-02 17:02:05
19.5,2018-08-02 17:02:07
22.59,2018-08-03 06:38:18
20.0,2018-08-03 06:38:19
29.0,2018-08-03 06:38:21
14.5,2018-08-03 06:38:23
20.0,2018-08-03 06:38:24
26.0,2018-08-03 06:38:26
17.5,2018-08-03 06:38:28
22.5,2018-08-03 06:38:30
19.5,2018-08-03 06:38:31
27.0,2018-08-03 06:38:33
27.0,2018-08-03 06:38:35
16.5,2018-08-03 06:38:37
19.5,2018-08-03 06:38:39
19.0,2018-08-03 06:38:41
13.0,2018-08-03 06:38:42
25.0,2018-08-03 06:38:44
14.0,2018-08-03 06:38:45
17.09,2018-08-03 06:39:12
27.59,2018-08-03 06:41:39
18.09,2018-08-03 06:43:53
21.5,2018-08-03 06:44:00
19.5,2018-08-03 06:44:05
23.0,2018-08-03 06:44:07
23.5,2018-08-03 06:44:10
18.5,2018-08-03 06:44:12
18.0,2018-08-03 06:44:14
21.5,2018-08-03 06:44:17
17.5,2018-08-03 06:44:20
22.5,2018-08-03 06:44:22
30.0,2018-08-03 06:44:25
21.0,2018-08-03 06:44:27
21.0,2018-08-03 06:44:29
29.5,2018-08-03 06:44:30
18.0,2018-08-03 06:44:32
18.5,2018-08-03 06:44:33
14.5,2018-08-03 06:44:34
22.5,2018-08-03 06:44:35
17.5,2018-08-03 06:44:36
19.0,2018-08-03 06:44:38
27.0,2018-08-03 06:44:39
28.0,2018-08-03 06:44:40
16.5,2018-08-03 06:44:42
24.0,2018-08-03 06:44:43
23.59,2018-08-03 07:16:06
19.5,2018-08-03 07:16:08
13.0,2018-08-03 07:16:10
29.0,2018-08-03 07:16:12
28.5,2018-08-03 07:16:14
16.5,2018-08-03 07:16:16
21.0,2018-08-03 07:16:17
33.0,2018-08-03 07:16:20
26.0,2018-08-03 07:16:21
24.0,2018-08-03 07:16:23
21.5,2018-08-03 07:16:25
24.0,2018-08-03 07:16:27
27.5,2018-08-03 07:16:29
26.0,2018-08-03 07:16:31
22.5,2018-08-03 07:16:32
19.5,2018-08-03 07:16:34
27.0,2018-08-03 07:16:36
30.5,2018-08-03 07:16:37
19.0,2018-08-03 07:16:39
20.0,2018-08-03 07:16:40
21.59,2018-08-03 07:36:40
27.5,2018-08-03 07:36:42
34.5,2018-08-03 07:36:45
22.0,2018-08-03 07:36:47
19.5,2018-08-03 07:36:49
24.5,2018-08-03 07:36:51
18.0,2018-08-03 07:36:54
13.5,2018-08-03 07:36:57
18.5,2018-08-03 07:37:00
18.5,2018-08-03 07:37:02
27.5,2018-08-03 07:37:04
25.5,2018-08-03 07:37:06
22.5,2018-08-03 07:37:09
22.5,2018-08-03 07:37:11
31.0,2018-08-03 07:37:13
12.5,2018-08-03 07:37:15
20.5,2018-08-03 07:37:17
29.5,2018-08-03 07:37:19
20.5,2018-08-03 07:37:20
22.5,2018-08-03 07:37:22
16.09,2018-08-03 08:49:55
21.0,2018-08-03 08:49:59
14.5,2018-08-03 08:50:01
23.0,2018-08-03 08:50:03
31.0,2018-08-03 08:50:05
32.5,2018-08-03 08:50:06
34.5,2018-08-03 08:50:08
25.0,2018-08-03 08:50:10
19.5,2018-08-03 08:50:12
25.0,2018-08-03 08:50:14
20.0,2018-08-03 08:50:15
25.0,2018-08-03 08:50:17
21.5,2018-08-03 08:50:19
20.0,2018-08-03 08:50:20
26.0,2018-08-03 08:50:22
20.5,2018-08-03 08:50:23
19.5,2018-08-03 08:50:25
26.5,2018-08-03 08:50:27
22.5,2018-08-03 08:50:28
28.5,2018-08-03 08:50:30
