peso,fecha
19.59,2018-07-27 07:16:38
17.5,2018-07-27 07:16:40
17.5,2018-07-27 07:16:42
23.0,2018-07-27 07:16:44
29.0,2018-07-27 07:16:45
30.0,2018-07-27 07:16:47
26.5,2018-07-27 07:16:49
21.5,2018-07-27 07:16:51
25.0,2018-07-27 07:16:53
22.0,2018-07-27 07:16:55
32.0,2018-07-27 07:16:57
30.0,2018-07-27 07:16:59
26.0,2018-07-27 07:17:01
22.5,2018-07-27 07:17:03
29.0,2018-07-27 07:17:05
24.0,2018-07-27 07:17:07
33.0,2018-07-27 07:17:09
26.5,2018-07-27 07:17:11
25.5,2018-07-27 07:17:12
26.09,2018-07-27 07:39:22
21.5,2018-07-27 07:39:24
33.0,2018-07-27 07:39:26
35.5,2018-07-27 07:39:28
20.0,2018-07-27 07:39:30
25.0,2018-07-27 07:39:33
22.0,2018-07-27 07:39:35
25.5,2018-07-27 07:39:38
24.0,2018-07-27 07:39:40
23.5,2018-07-27 07:39:42
27.0,2018-07-27 07:39:44
31.5,2018-07-27 07:39:46
33.0,2018-07-27 07:39:47
19.5,2018-07-27 07:39:49
41.0,2018-07-27 07:39:51
15.0,2018-07-27 07:39:52
26.5,2018-07-27 07:39:54
30.5,2018-07-27 07:39:56
27.5,2018-07-27 07:39:57
33.0,2018-07-27 07:39:59
34.59,2018-07-27 07:55:47
24.5,2018-07-27 07:55:50
32.5,2018-07-27 07:55:52
26.0,2018-07-27 07:55:53
13.0,2018-07-27 07:55:56
26.5,2018-07-27 07:55:58
22.5,2018-07-27 07:56:00
29.5,2018-07-27 07:56:02
27.5,2018-07-27 07:56:04
27.0,2018-07-27 07:56:06
31.5,2018-07-27 07:56:08
28.5,2018-07-27 07:56:09
30.5,2018-07-27 07:56:11
23.0,2018-07-27 07:56:13
16.5,2018-07-27 07:56:14
34.0,2018-07-27 07:56:16
20.5,2018-07-27 07:56:18
19.0,2018-07-27 07:56:19
16.0,2018-07-27 07:56:20
20.0,2018-07-27 07:56:22
17.09,2018-07-27 09:31:25
26.0,2018-07-27 09:31:27
23.5,2018-07-27 09:31:29
15.5,2018-07-27 09:31:30
29.5,2018-07-27 09:31:32
24.0,2018-07-27 09:31:34
31.0,2018-07-27 09:31:35
26.0,2018-07-27 09:31:37
25.5,2018-07-27 09:31:39
25.5,2018-07-27 09:31:40
26.0,2018-07-27 09:31:42
30.0,2018-07-27 09:31:44
22.5,2018-07-27 09:31:45
25.0,2018-07-27 09:31:47
29.5,2018-07-27 09:31:49
31.5,2018-07-27 09:31:50
24.5,2018-07-27 09:31:52
28.0,2018-07-27 09:31:54
23.0,2018-07-27 09:31:55
24.59,2018-07-27 09:55:35
32.5,2018-07-27 09:55:38
24.5,2018-07-27 09:55:40
28.0,2018-07-27 09:55:41
33.0,2018-07-27 09:55:43
30.0,2018-07-27 09:55:45
26.0,2018-07-27 09:55:46
23.0,2018-07-27 09:55:48
18.0,2018-07-27 09:55:50
21.5,2018-07-27 09:55:52
23.0,2018-07-27 09:55:53
25.0,2018-07-27 09:55:55
27.5,2018-07-27 09:55:57
26.5,2018-07-27 09:55:58
30.0,2018-07-27 09:56:00
23.5,2018-07-27 09:56:01
26.5,2018-07-27 09:56:03
20.5,2018-07-27 09:56:04
20.5,2018-07-27 09:56:05
28.0,2018-07-27 09:56:07
25.09,2018-07-27 10:20:22
26.5,2018-07-27 10:20:25
17.5,2018-07-27 10:20:28
26.0,2018-07-27 10:20:30
33.5,2018-07-27 10:20:32
20.0,2018-07-27 10:20:34
32.0,2018-07-27 10:20:36
21.0,2018-07-27 10:20:38
23.0,2018-07-27 10:20:40
22.5,2018-07-27 10:20:41
29.5,2018-07-27 10:20:43
19.0,2018-07-27 10:20:45
33.0,2018-07-27 10:20:47
24.5,2018-07-27 10:20:48
29.0,2018-07-27 10:20:50
21.5,2018-07-27 10:20:52
26.0,2018-07-27 10:20:54
28.0,2018-07-27 10:20:55
22.0,2018-07-27 10:20:57
25.09,2018-07-27 10:40:49
25.5,2018-07-27 10:40:51
24.0,2018-07-27 10:40:54
19.5,2018-07-27 10:40:55
25.0,2018-07-27 10:40:58
26.5,2018-07-27 10:41:03
31.5,2018-07-27 10:41:11
23.5,2018-07-27 10:41:14
26.5,2018-07-27 10:41:16
24.0,2018-07-27 10:41:19
24.5,2018-07-27 10:41:22
22.5,2018-07-27 10:41:25
26.0,2018-07-27 10:41:27
25.5,2018-07-27 10:41:30
28.0,2018-07-27 10:41:32
23.5,2018-07-27 10:41:35
23.5,2018-07-27 10:41:37
25.0,2018-07-27 10:41:39
22.5,2018-07-27 10:41:41
29.0,2018-07-27 10:41:43
28.59,2018-07-27 10:45:50
21.0,2018-07-27 10:45:53
16.5,2018-07-27 10:45:54
25.5,2018-07-27 10:45:56
36.0,2018-07-27 10:45:58
24.0,2018-07-27 10:46:00
32.5,2018-07-27 10:46:02
26.5,2018-07-27 10:46:04
35.0,2018-07-27 10:46:05
30.5,2018-07-27 10:46:07
37.5,2018-07-27 10:46:08
34.0,2018-07-27 10:46:10
22.5,2018-07-27 10:46:11
24.5,2018-07-27 10:46:12
29.0,2018-07-27 10:46:14
30.5,2018-07-27 10:46:15
19.0,2018-07-27 10:46:17
20.0,2018-07-27 10:46:18
19.5,2018-07-27 10:46:19
22.59,2018-07-27 11:14:03
25.5,2018-07-27 11:14:05
28.5,2018-07-27 11:14:07
25.0,2018-07-27 11:14:09
21.0,2018-07-27 11:14:11
22.5,2018-07-27 11:14:13
25.0,2018-07-27 11:14:15
19.0,2018-07-27 11:14:18
29.0,2018-07-27 11:14:20
23.5,2018-07-27 11:14:23
29.5,2018-07-27 11:14:25
21.5,2018-07-27 11:14:27
28.5,2018-07-27 11:14:29
21.0,2018-07-27 11:14:31
11.5,2018-07-27 11:14:32
22.5,2018-07-27 11:14:34
24.5,2018-07-27 11:14:36
21.5,2018-07-27 11:14:38
25.0,2018-07-27 11:14:40
28.5,2018-07-27 11:14:41
30.59,2018-07-27 11:43:48
25.0,2018-07-27 11:43:51
22.0,2018-07-27 11:43:54
23.0,2018-07-27 11:43:56
32.0,2018-07-27 11:43:59
29.5,2018-07-27 11:44:01
23.0,2018-07-27 11:44:03
24.5,2018-07-27 11:44:06
22.5,2018-07-27 11:44:08
21.0,2018-07-27 11:44:10
23.0,2018-07-27 11:44:12
28.0,2018-07-27 11:44:14
25.5,2018-07-27 11:44:16
13.5,2018-07-27 11:44:18
19.0,2018-07-27 11:44:20
24.0,2018-07-27 11:44:22
24.5,2018-07-27 11:44:24
20.5,2018-07-27 11:44:26
22.5,2018-07-27 11:44:28
24.0,2018-07-27 11:44:30
29.59,2018-07-27 13:43:41
30.5,2018-07-27 13:43:44
32.0,2018-07-27 13:43:46
23.5,2018-07-27 13:43:48
19.0,2018-07-27 13:43:51
28.5,2018-07-27 13:43:53
31.5,2018-07-27 13:43:55
21.0,2018-07-27 13:43:57
26.0,2018-07-27 13:43:59
24.5,2018-07-27 13:44:00
26.5,2018-07-27 13:44:02
20.0,2018-07-27 13:44:04
22.5,2018-07-27 13:44:05
26.0,2018-07-27 13:44:07
28.5,2018-07-27 13:44:09
22.5,2018-07-27 13:44:10
30.5,2018-07-27 13:44:12
19.0,2018-07-27 13:44:14
25.5,2018-07-27 13:44:15
19.0,2018-07-27 13:44:17
12.0,2018-07-27 13:44:19
22.09,2018-07-27 14:02:09
19.5,2018-07-27 14:02:11
12.0,2018-07-27 14:02:12
14.5,2018-07-27 14:02:14
25.5,2018-07-27 14:02:15
15.5,2018-07-27 14:02:17
24.5,2018-07-27 14:02:20
17.0,2018-07-27 14:02:22
18.0,2018-07-27 14:02:24
20.0,2018-07-27 14:02:28
18.5,2018-07-27 14:02:33
23.0,2018-07-27 14:02:37
22.0,2018-07-27 14:02:39
25.0,2018-07-27 14:02:41
25.5,2018-07-27 14:02:44
18.0,2018-07-27 14:02:46
21.5,2018-07-27 14:02:49
21.0,2018-07-27 14:02:52
25.5,2018-07-27 14:02:56
25.5,2018-07-27 14:02:59
23.0,2018-07-27 14:03:02
16.5,2018-07-27 14:03:04
18.5,2018-07-27 14:03:06
21.0,2018-07-27 14:03:08
23.5,2018-07-27 14:03:10
29.5,2018-07-27 14:03:12
23.5,2018-07-27 14:03:14
